time_of_day,day_of_week,road_name,vehicle_count,avg_speed,rainfall,holiday,incident,weather,congestion_level
14,2,Outer Ring Road,274,28.09,45.85,0,0,Heavy Rain,Medium
12,1,Silk Board Junction,222,37.78,0.0,0,0,Cloudy,Low
2,2,MG Road,253,33.98,17.47,0,0,Rainy,Low
10,5,Electronic City Flyover,431,35.69,0.0,1,0,Cloudy,Low
22,0,Whitefield Main Road,242,37.58,0.0,0,0,Clear,Low
11,2,Whitefield Main Road,597,34.03,0.0,0,0,Cloudy,Low
12,1,Whitefield Main Road,289,32.46,23.23,0,0,Heavy Rain,Low
23,4,Bannerghatta Road,241,31.98,28.05,0,0,Heavy Rain,Low
8,4,Sarjapur Road,712,27.75,25.65,0,0,Heavy Rain,Medium
1,0,Hebbal Flyover,218,37.82,0.0,0,0,Clear,Low
21,4,Bannerghatta Road,721,31.24,7.76,0,0,Rainy,Low
11,6,Sarjapur Road,249,29.07,42.2,1,0,Heavy Rain,Medium
14,4,Indiranagar 100ft Road,238,34.17,17.26,0,0,Rainy,Low
22,1,Hebbal Flyover,290,37.1,0.0,0,0,Clear,Low
8,5,Bannerghatta Road,441,35.59,0.0,1,0,Clear,Low
12,5,Bannerghatta Road,152,38.48,0.0,1,0,Cloudy,Low
1,3,Brigade Road,217,29.74,40.46,0,0,Heavy Rain,Medium
19,1,Sarjapur Road,630,33.7,0.0,0,0,Cloudy,Low
20,6,Indiranagar 100ft Road,289,37.11,0.0,1,0,Clear,Low
15,6,Bannerghatta Road,115,29.83,45.11,1,0,Heavy Rain,Medium
0,2,Bannerghatta Road,209,32.86,25.27,0,0,Heavy Rain,Low
4,2,Hebbal Flyover,165,36.26,10.43,0,0,Rainy,Low
4,4,Sarjapur Road,236,35.0,13.2,0,0,Rainy,Low
12,5,Brigade Road,159,38.41,0.0,1,0,Clear,Low
0,2,Outer Ring Road,215,35.56,11.43,0,0,Rainy,Low
21,6,Indiranagar 100ft Road,344,29.8,33.79,1,0,Heavy Rain,Medium
21,0,Brigade Road,577,34.23,0.0,0,0,Cloudy,Low
3,3,MG Road,475,20.25,0.0,0,1,Cloudy,Medium
15,2,Electronic City Flyover,196,38.04,0.0,0,0,Clear,Low
23,5,Sarjapur Road,132,34.82,19.31,1,0,Rainy,Low
22,1,Indiranagar 100ft Road,171,29.52,43.86,0,0,Heavy Rain,Medium
4,3,Electronic City Flyover,211,37.89,0.0,0,0,Cloudy,Low
13,5,Hebbal Flyover,175,37.23,5.1,1,0,Rainy,Low
23,2,Hebbal Flyover,244,35.4,10.8,0,0,Rainy,Low
6,6,Brigade Road,118,38.82,0.0,1,0,Clear,Low
11,6,Bannerghatta Road,319,36.81,0.0,1,0,Clear,Low
20,2,Whitefield Main Road,464,28.62,33.71,0,0,Heavy Rain,Medium
2,5,Indiranagar 100ft Road,163,31.62,33.76,1,0,Heavy Rain,Low
1,0,Bannerghatta Road,200,38.0,0.0,0,0,Clear,Low
19,0,Bannerghatta Road,688,33.12,0.0,0,0,Clear,Low
17,1,Bannerghatta Road,527,28.84,29.43,0,0,Heavy Rain,Medium
4,3,MG Road,197,29.84,40.94,0,0,Heavy Rain,Medium
9,0,Bannerghatta Road,437,35.63,0.0,0,0,Clear,Low
4,1,Sarjapur Road,228,37.72,0.0,0,0,Clear,Low
16,4,Hebbal Flyover,191,33.5,22.96,0,0,Heavy Rain,Low
0,0,Indiranagar 100ft Road,173,35.06,16.04,0,0,Rainy,Low
6,3,Sarjapur Road,297,34.92,10.57,0,0,Rainy,Low
6,0,Sarjapur Road,235,37.65,0.0,0,0,Clear,Low
16,4,Electronic City Flyover,271,37.29,0.0,0,0,Cloudy,Low
14,5,Electronic City Flyover,162,36.02,11.81,1,0,Rainy,Low
23,0,Electronic City Flyover,209,37.91,0.0,0,0,Clear,Low
14,6,Silk Board Junction,111,30.5,41.94,1,0,Heavy Rain,Low
15,5,Sarjapur Road,142,38.58,0.0,1,0,Cloudy,Low
15,5,Brigade Road,123,38.77,0.0,1,0,Clear,Low
12,0,Indiranagar 100ft Road,166,38.34,0.0,0,0,Clear,Low
13,4,Outer Ring Road,245,37.55,0.0,0,0,Cloudy,Low
9,5,Whitefield Main Road,447,35.53,0.0,1,0,Cloudy,Low
21,2,Whitefield Main Road,795,17.05,0.0,0,1,Clear,Medium
7,3,Bannerghatta Road,211,37.89,0.0,0,0,Cloudy,Low
8,2,Indiranagar 100ft Road,421,31.77,20.09,0,0,Heavy Rain,Low
21,1,Whitefield Main Road,686,26.3,34.19,0,0,Heavy Rain,Medium
0,0,Outer Ring Road,192,38.08,0.0,0,0,Cloudy,Low
8,1,Brigade Road,448,35.52,0.0,0,0,Clear,Low
0,1,Hebbal Flyover,246,37.54,0.0,0,0,Clear,Low
13,6,Hebbal Flyover,106,38.94,0.0,1,0,Cloudy,Low
0,2,Brigade Road,240,37.6,0.0,0,0,Clear,Low
12,6,Silk Board Junction,131,35.41,16.41,1,0,Rainy,Low
2,4,Outer Ring Road,245,29.68,39.34,0,0,Heavy Rain,Medium
13,0,Electronic City Flyover,281,34.28,14.55,0,0,Rainy,Low
23,3,Silk Board Junction,277,37.23,0.0,0,0,Cloudy,Low
21,5,Outer Ring Road,431,35.69,0.0,1,0,Clear,Low
20,2,Bannerghatta Road,675,33.25,0.0,0,0,Cloudy,Low
12,6,Electronic City Flyover,141,30.78,39.03,1,0,Heavy Rain,Low
15,1,Electronic City Flyover,244,34.0,17.79,0,0,Rainy,Low
13,6,Outer Ring Road,107,35.33,18.0,1,0,Rainy,Low
0,4,Sarjapur Road,420,16.43,21.85,1,1,Heavy Rain,Medium
0,2,Outer Ring Road,221,37.79,0.0,0,0,Clear,Low
20,4,Sarjapur Road,630,33.7,0.0,0,0,Cloudy,Low
13,1,Silk Board Junction,185,32.4,28.76,0,0,Heavy Rain,Low
5,4,MG Road,166,38.34,0.0,0,0,Clear,Low
9,0,Brigade Road,678,33.22,0.0,0,0,Clear,Low
13,6,Indiranagar 100ft Road,177,35.9,11.66,1,0,Rainy,Low
23,0,Whitefield Main Road,284,34.51,13.25,0,0,Rainy,Low
0,5,Hebbal Flyover,152,30.39,40.45,1,0,Heavy Rain,Low
0,3,Outer Ring Road,235,37.65,0.0,0,0,Clear,Low
20,4,Brigade Road,578,26.49,38.64,0,0,Heavy Rain,Medium
13,0,Whitefield Main Road,267,27.95,46.92,0,0,Heavy Rain,Medium
0,5,MG Road,159,38.41,0.0,1,0,Clear,Low
13,3,Outer Ring Road,239,37.61,0.0,0,0,Clear,Low
10,5,Silk Board Junction,445,31.43,20.61,1,0,Heavy Rain,Low
17,4,Indiranagar 100ft Road,666,33.34,0.0,0,0,Cloudy,Low
22,5,Indiranagar 100ft Road,140,35.24,16.8,1,0,Rainy,Low
11,3,MG Road,691,27.87,26.1,0,0,Heavy Rain,Medium
7,3,Sarjapur Road,144,28.61,49.75,1,0,Heavy Rain,Medium
6,6,Sarjapur Road,99,39.01,0.0,1,0,Cloudy,Low
0,4,Silk Board Junction,207,35.53,12.01,0,0,Rainy,Low
5,6,Outer Ring Road,133,30.88,38.93,1,0,Heavy Rain,Low
19,4,Sarjapur Road,626,33.74,0.0,0,0,Clear,Low
21,4,Silk Board Junction,564,26.52,39.2,0,0,Heavy Rain,Medium
13,6,MG Road,176,33.06,25.89,1,0,Heavy Rain,Low
8,5,Sarjapur Road,464,20.36,0.0,1,1,Cloudy,Medium
8,1,Brigade Road,559,34.41,0.0,0,0,Clear,Low
17,5,Outer Ring Road,384,33.83,11.63,1,0,Rainy,Low
7,5,MG Road,331,21.69,0.0,1,1,Cloudy,Medium
8,1,Outer Ring Road,621,33.79,0.0,0,0,Cloudy,Low
21,2,Outer Ring Road,410,35.9,0.0,0,0,Clear,Low
6,4,Bannerghatta Road,256,35.54,9.49,0,0,Rainy,Low
11,4,MG Road,678,30.63,12.95,0,0,Rainy,Low
5,4,Silk Board Junction,288,33.24,19.4,0,0,Rainy,Low
0,0,Sarjapur Road,283,35.6,7.86,0,0,Rainy,Low
23,2,Sarjapur Road,208,37.92,0.0,0,0,Clear,Low
22,1,Bannerghatta Road,282,33.23,19.74,0,0,Rainy,Low
12,0,MG Road,230,28.9,44.0,0,0,Heavy Rain,Medium
18,0,Outer Ring Road,430,32.16,17.69,0,0,Rainy,Low
18,4,Whitefield Main Road,478,35.22,0.0,0,0,Cloudy,Low
5,2,Silk Board Junction,295,37.05,0.0,0,0,Cloudy,Low
22,4,Electronic City Flyover,174,38.26,0.0,0,0,Cloudy,Low
23,4,Bannerghatta Road,210,32.95,24.75,0,0,Heavy Rain,Low
15,4,MG Road,289,28.81,41.51,0,0,Heavy Rain,Medium
15,4,Whitefield Main Road,258,32.14,26.4,0,0,Heavy Rain,Low
20,1,Sarjapur Road,679,28.4,24.03,0,0,Heavy Rain,Medium
7,3,Brigade Road,192,31.72,31.8,0,0,Heavy Rain,Low
9,2,Sarjapur Road,334,34.57,10.44,1,0,Rainy,Low
17,1,Bannerghatta Road,577,27.56,33.33,0,0,Heavy Rain,Medium
10,2,Hebbal Flyover,667,33.33,0.0,0,0,Clear,Low
1,0,Electronic City Flyover,170,34.77,17.65,0,0,Rainy,Low
7,6,Electronic City Flyover,110,34.7,21.02,1,0,Heavy Rain,Low
10,3,Sarjapur Road,530,30.73,19.85,0,0,Rainy,Low
1,1,Sarjapur Road,180,35.16,15.21,0,0,Rainy,Low
23,2,Outer Ring Road,250,37.5,0.0,0,0,Cloudy,Low
21,6,Outer Ring Road,396,36.04,0.0,1,0,Clear,Low
15,4,Hebbal Flyover,242,37.58,0.0,0,0,Cloudy,Low
7,3,Brigade Road,260,37.4,0.0,0,0,Clear,Low
8,2,Sarjapur Road,424,30.91,24.26,0,0,Heavy Rain,Low
16,2,MG Road,183,38.17,0.0,0,0,Cloudy,Low
0,1,Brigade Road,242,37.58,0.0,0,0,Clear,Low
4,4,Bannerghatta Road,247,29.84,38.43,0,0,Heavy Rain,Medium
23,4,Outer Ring Road,270,37.3,0.0,0,0,Clear,Low
8,3,Brigade Road,331,33.41,16.38,1,0,Rainy,Low
21,6,Whitefield Main Road,266,32.14,25.98,1,0,Heavy Rain,Low
9,1,Electronic City Flyover,586,34.14,0.0,0,0,Cloudy,Low
5,1,Sarjapur Road,260,37.4,0.0,0,0,Clear,Low
9,3,Sarjapur Road,412,35.88,0.0,0,0,Clear,Low
12,1,Bannerghatta Road,196,36.88,5.82,0,0,Rainy,Low
18,5,Outer Ring Road,403,35.97,0.0,1,0,Cloudy,Low
8,3,MG Road,511,31.52,16.83,0,0,Rainy,Low
12,6,Indiranagar 100ft Road,101,35.28,18.57,1,0,Rainy,Low
7,2,Whitefield Main Road,282,30.84,31.68,0,0,Heavy Rain,Low
22,6,Electronic City Flyover,147,35.08,17.25,1,0,Rainy,Low
16,2,Whitefield Main Road,254,37.46,0.0,0,0,Clear,Low
6,2,Whitefield Main Road,291,37.09,0.0,0,0,Clear,Low
8,0,Silk Board Junction,559,34.41,0.0,0,0,Cloudy,Low
18,1,MG Road,434,30.7,24.79,0,0,Heavy Rain,Low
5,0,Indiranagar 100ft Road,189,35.82,11.47,0,0,Rainy,Low
12,6,Outer Ring Road,174,38.26,0.0,1,0,Clear,Low
19,5,Bannerghatta Road,293,35.19,9.41,1,0,Rainy,Low
1,2,Bannerghatta Road,218,30.51,36.56,0,0,Heavy Rain,Low
8,3,Silk Board Junction,792,8.84,41.18,0,1,Heavy Rain,High
15,6,Bannerghatta Road,135,34.76,19.45,1,0,Rainy,Low
4,6,Indiranagar 100ft Road,230,20.64,10.28,1,1,Rainy,Medium
17,6,Indiranagar 100ft Road,274,37.26,0.0,1,0,Cloudy,Low
12,2,Outer Ring Road,178,35.64,12.91,0,0,Rainy,Low
22,5,Electronic City Flyover,108,37.83,5.46,1,0,Rainy,Low
8,6,Hebbal Flyover,398,36.02,0.0,1,0,Clear,Low
16,6,MG Road,343,11.79,48.88,1,1,Heavy Rain,High
6,4,Whitefield Main Road,229,37.71,0.0,0,0,Clear,Low
10,3,Brigade Road,401,30.24,28.77,0,0,Heavy Rain,Low
6,5,Outer Ring Road,136,38.64,0.0,1,0,Clear,Low
16,0,Hebbal Flyover,175,34.88,16.84,0,0,Rainy,Low
2,0,Outer Ring Road,209,35.87,10.22,0,0,Rainy,Low
10,3,Hebbal Flyover,676,29.74,17.51,0,0,Rainy,Medium
8,1,Whitefield Main Road,671,33.29,0.0,0,0,Clear,Low
11,4,Outer Ring Road,546,32.71,9.14,0,0,Rainy,Low
19,2,Hebbal Flyover,617,24.04,48.94,0,0,Heavy Rain,Medium
16,6,Whitefield Main Road,141,35.72,14.35,1,0,Rainy,Low
21,5,Bannerghatta Road,322,33.5,16.42,1,0,Rainy,Low
14,1,Electronic City Flyover,295,37.05,0.0,0,0,Cloudy,Low
3,5,Electronic City Flyover,159,38.41,0.0,1,0,Clear,Low
6,5,Hebbal Flyover,428,12.54,40.9,1,1,Heavy Rain,High
3,5,Electronic City Flyover,172,35.25,15.16,1,0,Rainy,Low
0,5,Electronic City Flyover,125,32.57,30.91,1,0,Heavy Rain,Low
3,5,Silk Board Junction,138,31.82,33.98,1,0,Heavy Rain,Low
4,3,Sarjapur Road,177,33.18,25.27,0,0,Heavy Rain,Low
8,5,Bannerghatta Road,272,37.28,0.0,1,0,Clear,Low
19,2,Sarjapur Road,528,34.72,0.0,0,0,Clear,Low
22,1,Indiranagar 100ft Road,191,34.25,19.21,0,0,Rainy,Low
9,1,Bannerghatta Road,716,24.51,41.63,0,0,Heavy Rain,Medium
14,3,Outer Ring Road,271,37.29,0.0,0,0,Cloudy,Low
5,0,Hebbal Flyover,253,36.03,7.21,0,0,Rainy,Low
11,5,Indiranagar 100ft Road,383,28.4,38.83,1,0,Heavy Rain,Medium
20,4,MG Road,704,32.96,0.0,0,0,Cloudy,Low
18,3,Brigade Road,476,32.53,13.57,0,0,Rainy,Low
12,0,Bannerghatta Road,229,35.29,12.09,0,0,Rainy,Low
5,2,Hebbal Flyover,285,35.76,6.97,0,0,Rainy,Low
17,3,Electronic City Flyover,472,35.28,0.0,0,0,Cloudy,Low
5,0,Outer Ring Road,233,37.67,0.0,0,0,Cloudy,Low
1,0,Hebbal Flyover,270,35.89,7.07,0,0,Rainy,Low
0,5,Hebbal Flyover,123,38.77,0.0,1,0,Clear,Low
16,3,Indiranagar 100ft Road,281,27.44,48.73,0,0,Heavy Rain,Medium
3,3,Bannerghatta Road,274,37.26,0.0,0,0,Clear,Low
4,3,Silk Board Junction,261,31.36,30.15,0,0,Heavy Rain,Low
16,5,Outer Ring Road,374,17.69,17.84,1,1,Rainy,Medium
20,5,Silk Board Junction,343,31.56,25.05,1,0,Heavy Rain,Low
3,2,Hebbal Flyover,196,38.04,0.0,0,0,Cloudy,Low
1,5,Silk Board Junction,130,36.69,10.04,1,0,Rainy,Low
15,0,MG Road,235,37.65,0.0,0,0,Cloudy,Low
9,6,Brigade Road,422,33.86,9.59,1,0,Rainy,Low
17,2,Electronic City Flyover,473,35.27,0.0,0,0,Cloudy,Low
14,0,Silk Board Junction,209,37.91,0.0,0,0,Clear,Low
17,5,Hebbal Flyover,433,30.09,27.9,1,0,Heavy Rain,Low
22,6,Sarjapur Road,146,38.54,0.0,1,0,Cloudy,Low
20,5,Sarjapur Road,281,29.19,39.99,1,0,Heavy Rain,Medium
3,0,Indiranagar 100ft Road,167,28.69,48.22,0,0,Heavy Rain,Medium
11,5,Outer Ring Road,426,10.82,49.58,1,1,Heavy Rain,High
9,1,Indiranagar 100ft Road,557,34.43,0.0,0,0,Clear,Low
23,3,Indiranagar 100ft Road,180,38.2,0.0,0,0,Cloudy,Low
0,2,Brigade Road,248,36.19,6.66,0,0,Rainy,Low
9,6,Silk Board Junction,371,35.24,5.23,1,0,Rainy,Low
9,1,Sarjapur Road,493,33.96,5.55,0,0,Rainy,Low
5,6,MG Road,146,36.39,10.73,1,0,Rainy,Low
0,5,Brigade Road,113,33.81,25.31,1,0,Heavy Rain,Low
15,3,Sarjapur Road,258,32.54,24.4,0,0,Heavy Rain,Low
1,2,Electronic City Flyover,292,37.08,0.0,0,0,Clear,Low
4,1,Electronic City Flyover,161,38.39,0.0,0,0,Clear,Low
17,2,MG Road,718,32.82,0.0,0,0,Cloudy,Low
5,0,Electronic City Flyover,286,37.14,0.0,0,0,Cloudy,Low
14,2,Sarjapur Road,297,27.57,47.32,0,0,Heavy Rain,Medium
11,1,Electronic City Flyover,714,32.86,0.0,0,0,Cloudy,Low
0,0,MG Road,276,35.73,7.54,0,0,Rainy,Low
5,0,MG Road,222,30.97,34.03,0,0,Heavy Rain,Low
12,0,Silk Board Junction,238,37.62,0.0,0,0,Cloudy,Low
0,1,Outer Ring Road,201,37.99,0.0,0,0,Cloudy,Low
19,1,Hebbal Flyover,629,15.81,14.51,0,1,Rainy,Medium
18,6,Outer Ring Road,268,37.32,0.0,1,0,Clear,Low
22,1,Brigade Road,176,38.24,0.0,0,0,Cloudy,Low
6,1,Outer Ring Road,204,37.96,0.0,0,0,Clear,Low
4,5,Hebbal Flyover,99,30.58,42.14,1,0,Heavy Rain,Low
10,4,Bannerghatta Road,557,29.06,26.87,0,0,Heavy Rain,Medium
8,3,MG Road,601,33.99,0.0,0,0,Cloudy,Low
23,1,Bannerghatta Road,259,37.41,0.0,0,0,Clear,Low
11,5,MG Road,411,33.22,13.35,1,0,Rainy,Low
3,2,Brigade Road,187,38.13,0.0,0,0,Cloudy,Low
7,3,Brigade Road,232,37.68,0.0,0,0,Cloudy,Low
21,2,Indiranagar 100ft Road,430,35.7,0.0,0,0,Clear,Low
16,6,MG Road,129,36.86,9.26,1,0,Rainy,Low
11,6,MG Road,271,37.29,0.0,1,0,Clear,Low
14,3,Indiranagar 100ft Road,198,30.52,37.49,0,0,Heavy Rain,Low
17,3,Outer Ring Road,461,31.77,18.09,0,0,Rainy,Low
13,6,Whitefield Main Road,174,29.44,44.12,1,0,Heavy Rain,Medium
17,5,Silk Board Junction,433,32.59,15.4,1,0,Rainy,Low
6,5,Whitefield Main Road,138,37.47,5.74,1,0,Rainy,Low
20,6,Brigade Road,263,34.59,13.9,1,0,Rainy,Low
17,3,Silk Board Junction,587,34.13,0.0,0,0,Clear,Low
10,3,Indiranagar 100ft Road,714,32.86,0.0,0,0,Cloudy,Low
2,4,Silk Board Junction,276,34.54,13.52,0,0,Rainy,Low
10,2,Whitefield Main Road,426,32.95,13.97,0,0,Rainy,Low
17,0,Bannerghatta Road,516,30.18,23.28,0,0,Heavy Rain,Low
6,5,Outer Ring Road,98,31.85,35.87,1,0,Heavy Rain,Low
21,1,MG Road,679,29.82,16.93,0,0,Rainy,Medium
9,3,Hebbal Flyover,687,18.13,0.0,0,1,Clear,Medium
18,1,Electronic City Flyover,697,33.03,0.0,0,0,Clear,Low
22,4,Sarjapur Road,175,35.16,15.43,0,0,Rainy,Low
17,3,Sarjapur Road,718,30.42,12.0,0,0,Rainy,Low
1,4,Outer Ring Road,233,36.57,5.48,0,0,Rainy,Low
9,4,Whitefield Main Road,557,34.43,0.0,0,0,Clear,Low
19,1,MG Road,702,17.98,0.0,0,1,Clear,Medium
0,3,Brigade Road,174,34.96,16.49,0,0,Rainy,Low
0,2,Brigade Road,244,32.33,26.13,0,0,Heavy Rain,Low
2,6,Silk Board Junction,108,30.71,41.05,1,0,Heavy Rain,Low
12,3,Silk Board Junction,198,30.03,39.97,0,0,Heavy Rain,Low
4,6,Brigade Road,124,31.3,37.32,1,0,Heavy Rain,Low
13,3,Hebbal Flyover,182,32.04,30.68,0,0,Heavy Rain,Low
8,5,Silk Board Junction,259,37.41,0.0,1,0,Cloudy,Low
23,3,Bannerghatta Road,201,34.82,15.83,0,0,Rainy,Low
13,3,Outer Ring Road,199,34.46,17.73,0,0,Rainy,Low
12,4,Silk Board Junction,214,37.86,0.0,0,0,Clear,Low
11,1,Hebbal Flyover,569,29.86,22.24,0,0,Heavy Rain,Medium
14,6,Outer Ring Road,155,29.52,44.64,1,0,Heavy Rain,Medium
17,0,Outer Ring Road,615,31.7,10.75,0,0,Rainy,Low
2,4,MG Road,210,37.9,0.0,0,0,Cloudy,Low
13,2,Outer Ring Road,179,34.5,18.54,0,0,Rainy,Low
18,6,Bannerghatta Road,437,27.35,41.42,1,0,Heavy Rain,Medium
9,4,Whitefield Main Road,476,31.83,17.03,0,0,Rainy,Low
9,3,MG Road,531,34.69,0.0,0,0,Cloudy,Low
8,5,Indiranagar 100ft Road,297,35.73,6.49,1,0,Rainy,Low
15,4,Sarjapur Road,200,31.54,32.32,0,0,Heavy Rain,Low
15,1,Sarjapur Road,240,31.76,29.21,0,0,Heavy Rain,Low
17,5,Silk Board Junction,374,29.42,34.18,1,0,Heavy Rain,Medium
14,0,Sarjapur Road,189,35.04,15.33,0,0,Rainy,Low
22,2,Indiranagar 100ft Road,228,37.72,0.0,0,0,Cloudy,Low
0,2,Brigade Road,165,38.35,0.0,0,0,Cloudy,Low
12,1,MG Road,174,38.26,0.0,0,0,Clear,Low
22,5,Indiranagar 100ft Road,174,38.26,0.0,1,0,Cloudy,Low
10,1,Bannerghatta Road,535,31.55,15.49,0,0,Rainy,Low
15,1,Electronic City Flyover,190,38.1,0.0,0,0,Clear,Low
21,2,Indiranagar 100ft Road,435,32.6,15.24,0,0,Rainy,Low
1,0,Hebbal Flyover,196,30.67,36.85,0,0,Heavy Rain,Low
21,1,Whitefield Main Road,429,35.71,0.0,1,0,Clear,Low
15,2,Bannerghatta Road,168,38.32,0.0,0,0,Cloudy,Low
20,6,Indiranagar 100ft Road,386,36.14,0.0,1,0,Clear,Low
11,5,MG Road,428,29.42,31.48,1,0,Heavy Rain,Medium
21,1,Outer Ring Road,615,33.85,0.0,0,0,Clear,Low
19,4,Outer Ring Road,807,16.93,0.0,0,1,Cloudy,Medium
22,1,Electronic City Flyover,260,32.89,22.53,0,0,Heavy Rain,Low
0,3,Bannerghatta Road,203,37.97,0.0,0,0,Cloudy,Low
1,5,Silk Board Junction,126,38.74,0.0,1,0,Clear,Low
21,1,Brigade Road,426,33.47,11.33,0,0,Rainy,Low
13,4,MG Road,261,37.39,0.0,0,0,Clear,Low
9,0,Bannerghatta Road,657,33.43,0.0,0,0,Clear,Low
4,6,Electronic City Flyover,174,38.26,0.0,1,0,Cloudy,Low
19,4,Brigade Road,439,34.01,8.02,0,0,Rainy,Low
14,3,Hebbal Flyover,167,34.45,19.41,0,0,Rainy,Low
20,3,Silk Board Junction,607,33.93,0.0,0,0,Clear,Low
23,4,Hebbal Flyover,240,37.6,0.0,0,0,Cloudy,Low
0,5,Brigade Road,168,33.22,25.48,1,0,Heavy Rain,Low
5,3,Electronic City Flyover,294,33.74,16.59,0,0,Rainy,Low
21,1,Outer Ring Road,653,33.47,0.0,0,0,Clear,Low
20,2,MG Road,553,27.13,36.71,0,0,Heavy Rain,Medium
20,2,Electronic City Flyover,523,31.04,18.67,0,0,Rainy,Low
23,2,Indiranagar 100ft Road,287,37.13,0.0,0,0,Cloudy,Low
2,6,Electronic City Flyover,98,30.33,43.43,1,0,Heavy Rain,Low
4,1,Bannerghatta Road,288,37.12,0.0,0,0,Cloudy,Low
4,1,Bannerghatta Road,284,37.16,0.0,0,0,Cloudy,Low
22,4,Outer Ring Road,264,37.36,0.0,0,0,Clear,Low
15,6,Whitefield Main Road,377,12.38,44.27,1,1,Heavy Rain,High
20,6,Outer Ring Road,346,36.54,0.0,1,0,Clear,Low
15,6,Whitefield Main Road,144,29.69,44.35,1,0,Heavy Rain,Medium
18,2,Brigade Road,684,24.2,44.8,0,0,Heavy Rain,Medium
5,0,Sarjapur Road,240,37.6,0.0,0,0,Cloudy,Low
17,4,MG Road,591,24.88,46.07,0,0,Heavy Rain,Medium
5,3,Whitefield Main Road,298,37.02,0.0,0,0,Cloudy,Low
21,5,Brigade Road,326,27.19,47.74,1,0,Heavy Rain,Medium
17,2,Silk Board Junction,579,32.4,9.05,0,0,Rainy,Low
2,1,Indiranagar 100ft Road,268,31.76,27.82,0,0,Heavy Rain,Low
13,2,MG Road,203,31.1,34.35,0,0,Heavy Rain,Low
22,3,Electronic City Flyover,299,22.01,0.0,0,1,Cloudy,Medium
22,5,MG Road,176,37.13,5.53,1,0,Rainy,Low
4,0,Electronic City Flyover,234,37.66,0.0,0,0,Cloudy,Low
23,6,Brigade Road,101,35.85,15.69,1,0,Rainy,Low
19,2,MG Road,715,23.99,44.31,0,0,Heavy Rain,Medium
4,4,Indiranagar 100ft Road,196,38.04,0.0,0,0,Clear,Low
21,6,Bannerghatta Road,352,29.73,33.75,1,0,Heavy Rain,Medium
6,6,Silk Board Junction,113,29.49,46.9,1,0,Heavy Rain,Medium
1,4,Bannerghatta Road,185,38.15,0.0,0,0,Clear,Low
21,1,Silk Board Junction,849,13.8,13.56,0,1,Rainy,High
23,4,Indiranagar 100ft Road,213,35.34,12.64,0,0,Rainy,Low
13,4,Bannerghatta Road,229,31.69,30.1,0,0,Heavy Rain,Low
1,2,Sarjapur Road,205,35.07,14.4,0,0,Rainy,Low
15,1,Electronic City Flyover,102,36.31,13.33,1,0,Rainy,Low
22,4,Brigade Road,181,38.19,0.0,0,0,Cloudy,Low
2,6,Sarjapur Road,172,33.35,24.65,1,0,Heavy Rain,Low
19,2,Indiranagar 100ft Road,597,34.03,0.0,0,0,Cloudy,Low
8,1,MG Road,481,33.15,10.19,0,0,Rainy,Low
19,2,Outer Ring Road,465,35.35,0.0,0,0,Cloudy,Low
3,6,Whitefield Main Road,114,34.56,21.49,1,0,Heavy Rain,Low
7,6,Brigade Road,147,30.64,39.43,1,0,Heavy Rain,Low
6,2,Sarjapur Road,188,35.64,12.4,0,0,Rainy,Low
7,4,Outer Ring Road,114,32.04,34.1,1,0,Heavy Rain,Low
17,2,Indiranagar 100ft Road,595,34.05,0.0,0,0,Clear,Low
10,2,Bannerghatta Road,701,32.99,0.0,0,0,Cloudy,Low
4,0,Whitefield Main Road,173,33.44,24.14,0,0,Heavy Rain,Low
9,1,MG Road,491,35.09,0.0,0,0,Clear,Low
18,2,MG Road,719,30.62,10.95,0,0,Rainy,Low
18,3,Outer Ring Road,937,15.63,0.0,0,1,Clear,Medium
2,6,Electronic City Flyover,109,37.81,5.48,1,0,Rainy,Low
6,0,MG Road,231,37.69,0.0,0,0,Clear,Low
21,3,Bannerghatta Road,879,16.21,0.0,0,1,Clear,Medium
2,0,Electronic City Flyover,225,28.66,45.44,0,0,Heavy Rain,Medium
9,0,Outer Ring Road,511,31.01,19.39,0,0,Rainy,Low
21,1,Outer Ring Road,668,33.32,0.0,0,0,Clear,Low
14,6,Sarjapur Road,153,38.47,0.0,1,0,Clear,Low
20,0,Electronic City Flyover,740,31.29,6.55,0,0,Rainy,Low
12,1,Sarjapur Road,143,31.67,34.51,1,0,Heavy Rain,Low
20,6,Sarjapur Road,281,27.74,47.25,1,0,Heavy Rain,Medium
20,6,Bannerghatta Road,441,35.59,0.0,1,0,Cloudy,Low
20,2,Sarjapur Road,670,33.3,0.0,0,0,Cloudy,Low
22,4,Brigade Road,148,38.52,0.0,1,0,Clear,Low
11,5,Whitefield Main Road,241,37.59,0.0,1,0,Clear,Low
9,4,Outer Ring Road,589,31.65,12.31,0,0,Rainy,Low
9,2,MG Road,591,34.09,0.0,0,0,Clear,Low
6,3,Outer Ring Road,242,37.58,0.0,0,0,Clear,Low
21,4,Hebbal Flyover,484,35.16,0.0,0,0,Cloudy,Low
12,0,MG Road,263,37.37,0.0,0,0,Clear,Low
15,1,Indiranagar 100ft Road,141,38.59,0.0,1,0,Cloudy,Low
7,0,Electronic City Flyover,222,28.42,46.79,0,0,Heavy Rain,Medium
9,0,Sarjapur Road,408,35.92,0.0,0,0,Cloudy,Low
